White player,White player Elo,Black player,Black player Elo,Opening Code,Opening,Result
Richard_Rapport,2745,Kirill_Shevchenko,2684,B31,Sicilian Defence,1-0
Radoslaw_Wojtaszek,2670,Magnus_Carlsen,2853,A40,A40–A42,1-0
Wesley_So,2760,Bogdan-Daniel_Deac,2700,C50,Italian Game,1-0
Jan_Krzysztof_Duda,2724,Anish_Giri,2768,E60,King’s Indian,1-0
Maxime_Vachier_Lagrave,2742,Levon_Aronian,2745,A45,A45–A49,½-½
Anish_Giri,2768,Maxime_Vachier_Lagrave,2742,D20,Queen’s Gambit,½-½
Kirill_Shevchenko,2684,Levon_Aronian,2745,E10,Indian systems with ...e6,0-1
Bogdan-Daniel_Deac,2700,Jan_Krzysztof_Duda,2724,D94,Grünfeld,0-1
Magnus_Carlsen,2853,Wesley_So,2760,D02,D00–D05,½-½
Richard_Rapport,2745,Radoslaw_Wojtaszek,2670,B51,Sicilian Defence,½-½
Wesley_So,2760,Richard_Rapport,2745,A61,Atypical Indian systems,1-0
Jan_Krzysztof_Duda,2724,Magnus_Carlsen,2853,B17,Caro-Kann Defence,½-½
Radoslaw_Wojtaszek,2670,Kirill_Shevchenko,2684,E94,King’s Indian,½-½
Maxime_Vachier_Lagrave,2742,Bogdan-Daniel_Deac,2700,C50,Italian Game,1-0
Levon_Aronian,2745,Anish_Giri,2768,C28,Vienna Game,1-0
Bogdan-Daniel_Deac,2700,Levon_Aronian,2745,C65,Ruy Lopez,½-½
Magnus_Carlsen,2853,Maxime_Vachier_Lagrave,2742,D00,D00–D05,½-½
Richard_Rapport,2745,Jan_Krzysztof_Duda,2724,C29,Vienna Game,½-½
Kirill_Shevchenko,2684,Anish_Giri,2768,C44,C44,½-½
Radoslaw_Wojtaszek,2670,Wesley_So,2760,D41,Queen’s Gambit,½-½
Jan_Krzysztof_Duda,2724,Radoslaw_Wojtaszek,2670,E48,Indian systems with ...e6,1-0
Maxime_Vachier_Lagrave,2742,Richard_Rapport,2745,C18,French Defence,½-½
Levon_Aronian,2745,Magnus_Carlsen,2853,B40,Sicilian Defence,½-½
Anish_Giri,2768,Bogdan-Daniel_Deac,2700,A45,A45–A49,0-1
Wesley_So,2760,Kirill_Shevchenko,2684,B51,Sicilian Defence,1-0
Magnus_Carlsen,2853,Anish_Giri,2768,A06,Réti Opening,½-½
Richard_Rapport,2745,Levon_Aronian,2745,C29,Vienna Game,½-½
Radoslaw_Wojtaszek,2670,Maxime_Vachier_Lagrave,2742,D27,Queen’s Gambit,½-½
Kirill_Shevchenko,2684,Bogdan-Daniel_Deac,2700,A28,English Opening,½-½
Wesley_So,2760,Jan_Krzysztof_Duda,2724,C42,Petrov’s Defence,½-½
Maxime_Vachier_Lagrave,2742,Wesley_So,2760,C42,Petrov’s Defence,1-0
Levon_Aronian,2745,Radoslaw_Wojtaszek,2670,B59,Sicilian Defence,1-0
Jan_Krzysztof_Duda,2724,Kirill_Shevchenko,2684,E94,King’s Indian,½-½
Anish_Giri,2768,Richard_Rapport,2745,C41,Philidor Defence,½-½
Bogdan-Daniel_Deac,2700,Magnus_Carlsen,2853,C11,French Defence,0-1
Richard_Rapport,2745,Bogdan-Daniel_Deac,2700,B13,Caro-Kann Defence,½-½
Kirill_Shevchenko,2684,Magnus_Carlsen,2853,C44,C44,0-1
Radoslaw_Wojtaszek,2670,Anish_Giri,2768,A11,English Opening,0-1
